Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
¿Qué es vive azure?	Vive Azure es un magno evento creado por CompuSoluciones y Microsoft, ¡Para que puedas unirte a la fiesta cloud! Vive Azure se realizará en Ciudad de México, Monterrey y Guadalajara. ¿Te interesa?	QnA Compubot.xlsx		[]	false	[]	1
¿Qué es este evento?	Vive Azure es un magno evento creado por CompuSoluciones y Microsoft, ¡Para que puedas unirte a la fiesta cloud! Vive Azure se realizará en Ciudad de México, Monterrey y Guadalajara. ¿Te interesa?	QnA Compubot.xlsx		[]	false	[]	1
¿Qué es Vive Azure?	Vive Azure es un magno evento creado por CompuSoluciones y Microsoft, ¡Para que puedas unirte a la fiesta cloud! Vive Azure se realizará en Ciudad de México, Monterrey y Guadalajara. ¿Te interesa?	QnA Compubot.xlsx		[]	false	[]	1
que es vive azure	Vive Azure es un magno evento creado por CompuSoluciones y Microsoft, ¡Para que puedas unirte a la fiesta cloud! Vive Azure se realizará en Ciudad de México, Monterrey y Guadalajara. ¿Te interesa?	QnA Compubot.xlsx		[]	false	[]	1
¿De qué trata?	Vive Azure es un magno evento creado por CompuSoluciones y Microsoft, ¡Para que puedas unirte a la fiesta cloud! Vive Azure se realizará en Ciudad de México, Monterrey y Guadalajara. ¿Te interesa?	QnA Compubot.xlsx		[]	false	[]	1
De que trata\n	Vive Azure es un magno evento creado por CompuSoluciones y Microsoft, ¡Para que puedas unirte a la fiesta cloud! Vive Azure se realizará en Ciudad de México, Monterrey y Guadalajara. ¿Te interesa?	QnA Compubot.xlsx		[]	false	[]	1
de que trata\n	Vive Azure es un magno evento creado por CompuSoluciones y Microsoft, ¡Para que puedas unirte a la fiesta cloud! Vive Azure se realizará en Ciudad de México, Monterrey y Guadalajara. ¿Te interesa?	QnA Compubot.xlsx		[]	false	[]	1
de qué se trata	Vive Azure es un magno evento creado por CompuSoluciones y Microsoft, ¡Para que puedas unirte a la fiesta cloud! Vive Azure se realizará en Ciudad de México, Monterrey y Guadalajara. ¿Te interesa?	QnA Compubot.xlsx		[]	false	[]	1
¿Qué es azure?	Microsoft Azure es conjunto en constante expansión de servicios en la nube para ayudar a su organización a satisfacer sus necesidades comerciales. Te otorga la libertad de crear, administrar e implementar aplicaciones en una red mundial enorme con sus herramientas y marcos favoritos.	QnA Compubot.xlsx		[]	false	[]	2
¿Qué es cloud?	Microsoft Azure es conjunto en constante expansión de servicios en la nube para ayudar a su organización a satisfacer sus necesidades comerciales. Te otorga la libertad de crear, administrar e implementar aplicaciones en una red mundial enorme con sus herramientas y marcos favoritos.	QnA Compubot.xlsx		[]	false	[]	2
¿Para qué sirve Azure?	Microsoft Azure es conjunto en constante expansión de servicios en la nube para ayudar a su organización a satisfacer sus necesidades comerciales. Te otorga la libertad de crear, administrar e implementar aplicaciones en una red mundial enorme con sus herramientas y marcos favoritos.	QnA Compubot.xlsx		[]	false	[]	2
De que se trata azure	Microsoft Azure es conjunto en constante expansión de servicios en la nube para ayudar a su organización a satisfacer sus necesidades comerciales. Te otorga la libertad de crear, administrar e implementar aplicaciones en una red mundial enorme con sus herramientas y marcos favoritos.	QnA Compubot.xlsx		[]	false	[]	2
azure	Microsoft Azure es conjunto en constante expansión de servicios en la nube para ayudar a su organización a satisfacer sus necesidades comerciales. Te otorga la libertad de crear, administrar e implementar aplicaciones en una red mundial enorme con sus herramientas y marcos favoritos.	QnA Compubot.xlsx		[]	false	[]	2
¿Cuándo es el evento?	Vive Azure se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, 3,4 y 5 de Septiembre en Microsoft Monterrey y 10,11, y 12 de Septiembre en Ciudad de México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	3
¿Cuándo es Vive Azure?	Vive Azure se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, 3,4 y 5 de Septiembre en Microsoft Monterrey y 10,11, y 12 de Septiembre en Ciudad de México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	3
